TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
Memphis Grizzlies,1610612763,82,48,34,0.585,3941.0,114.4,110.0,4.4,106.2,19.1,0.287,0.749,0.52,0.147,1,11,11,11,29,6,9,6,12,3,14,2,23,1
Chicago Bulls,1610612741,82,39,43,0.476,3951.0,111.9,112.5,-0.6,105.3,19.9,0.223,0.766,0.499,0.139,1,18,18,18,18,17,18,18,6,28,4,18,15,2
Atlanta Hawks,1610612737,82,40,42,0.488,3956.0,111.9,112.6,-0.8,105.2,19.9,0.263,0.76,0.505,0.147,1,16,16,16,14,18,19,19,7,10,9,12,22,3
Washington Wizards,1610612764,82,18,64,0.22,3946.0,103.9,116.2,-12.3,103.5,17.8,0.227,0.719,0.472,0.15,1,29,29,29,23,30,27,30,25,25,29,29,26,4
Utah Jazz,1610612762,82,17,65,0.207,3961.0,107.8,117.7,-9.9,102.7,17.9,0.269,0.741,0.507,0.166,1,30,30,30,9,24,30,28,24,6,22,11,30,5
Oklahoma City Thunder,1610612760,82,68,14,0.829,3941.0,117.3,104.7,12.6,102.6,18.9,0.242,0.746,0.5,0.114,1,1,1,1,29,3,1,1,15,21,16,17,1,6
Detroit Pistons,1610612765,82,44,38,0.537,3961.0,112.0,110.1,1.9,102.5,18.6,0.262,0.76,0.513,0.144,1,14,14,14,9,15,10,14,19,11,7,5,21,7
Cleveland Cavaliers,1610612739,82,64,18,0.78,3951.0,119.1,109.0,10.1,102.4,19.6,0.259,0.748,0.51,0.129,1,2,2,2,18,1,8,2,8,13,15,7,4,8
Toronto Raptors,1610612761,82,30,52,0.366,3961.0,107.6,111.7,-4.1,102.4,19.6,0.273,0.739,0.501,0.149,1,24,24,24,9,25,15,24,9,4,24,15,25,8
Denver Nuggets,1610612743,82,50,32,0.61,3971.0,117.2,113.1,4.1,102.3,21.1,0.267,0.746,0.519,0.138,1,6,6,6,4,4,22,7,1,7,17,3,14,10
Indiana Pacers,1610612754,82,50,32,0.61,3971.0,114.1,111.3,2.8,102.2,20.5,0.213,0.745,0.482,0.128,1,6,6,6,4,7,13,11,2,29,20,28,3,11
San Antonio Spurs,1610612759,82,34,48,0.415,3946.0,111.7,114.1,-2.4,101.8,20.1,0.243,0.73,0.486,0.136,1,23,23,23,23,19,25,21,3,20,26,26,10,12
New Orleans Pelicans,1610612740,82,21,61,0.256,3951.0,107.6,116.6,-9.0,101.8,18.3,0.263,0.727,0.488,0.144,1,27,27,27,18,26,29,27,22,9,27,24,18,12
Dallas Mavericks,1610612742,82,39,43,0.476,3946.0,112.1,113.0,-0.9,101.7,18.2,0.233,0.731,0.487,0.138,1,18,18,18,23,14,21,20,23,23,25,25,12,14
Houston Rockets,1610612745,82,52,30,0.634,3956.0,111.4,108.0,3.4,101.6,16.4,0.317,0.762,0.535,0.135,1,4,4,4,14,20,5,8,30,1,6,1,8,15
Portland Trail Blazers,1610612757,82,36,46,0.439,3956.0,108.1,111.9,-3.8,101.6,16.9,0.292,0.725,0.503,0.156,1,21,21,21,14,23,17,23,29,2,28,14,29,15
Milwaukee Bucks,1610612749,82,48,34,0.585,3951.0,113.6,110.9,2.7,101.4,18.7,0.193,0.762,0.489,0.132,1,11,11,11,18,11,12,12,18,30,5,23,6,17
Golden State Warriors,1610612744,82,48,34,0.585,3946.0,112.0,108.9,3.1,101.3,20.1,0.273,0.756,0.507,0.138,1,11,11,11,23,16,7,10,4,5,11,10,13,18
Sacramento Kings,1610612758,82,40,42,0.488,3976.0,113.8,113.5,0.3,100.6,18.8,0.254,0.769,0.511,0.131,1,16,16,16,2,8,23,15,16,16,3,6,5,19
Charlotte Hornets,1610612766,82,19,63,0.232,3951.0,104.0,113.8,-9.9,100.3,17.5,0.265,0.745,0.5,0.153,1,28,28,28,18,29,24,28,26,8,21,16,28,20
Los Angeles Lakers,1610612747,82,50,32,0.61,3946.0,113.4,111.4,2.1,100.1,18.9,0.233,0.745,0.497,0.14,1,6,6,6,23,12,14,13,14,24,18,20,16,21
Philadelphia 76ers,1610612755,82,24,58,0.293,3961.0,109.0,115.2,-6.1,99.9,17.1,0.234,0.718,0.466,0.135,1,26,26,26,9,22,26,25,28,22,30,30,9,22
Minnesota Timberwolves,1610612750,82,49,33,0.598,3966.0,113.6,108.6,5.0,99.8,18.7,0.258,0.751,0.508,0.144,1,10,10,10,6,10,6,4,17,14,12,9,20,23
LA Clippers,1610612746,82,50,32,0.61,3961.0,112.4,107.9,4.5,99.7,18.4,0.244,0.775,0.513,0.148,1,6,6,6,9,13,3,5,20,19,1,4,24,24
Phoenix Suns,1610612756,82,36,46,0.439,3966.0,113.7,116.2,-2.5,99.4,20.0,0.226,0.741,0.49,0.141,1,21,21,21,6,9,28,22,5,26,23,22,17,25
New York Knicks,1610612752,82,51,31,0.622,3976.0,115.0,111.8,3.2,99.3,19.6,0.26,0.745,0.505,0.132,1,5,5,5,2,5,16,9,10,12,19,13,7,26
Brooklyn Nets,1610612751,82,26,56,0.317,3956.0,105.7,112.8,-7.1,99.0,18.4,0.245,0.75,0.486,0.153,1,25,25,25,14,28,20,26,21,18,13,27,27,27
Orlando Magic,1610612753,82,41,41,0.5,3946.0,106.5,106.8,-0.3,98.6,17.1,0.253,0.77,0.498,0.144,1,15,15,15,23,27,2,17,27,17,2,19,19,28
Miami Heat,1610612748,82,37,45,0.451,3986.0,110.8,110.6,0.3,98.4,19.2,0.223,0.758,0.493,0.136,1,20,20,20,1,21,11,15,11,27,10,21,11,29
Boston Celtics,1610612738,82,61,21,0.744,3966.0,117.5,108.0,9.6,98.3,19.0,0.257,0.76,0.509,0.12,1,3,3,3,6,2,4,3,13,15,8,8,2,30
